Accessible,positive
Active,positive
Adaptable,positive
Admirable,positive
Adventurous,positive
Agreeable,positive
Alert,positive
Amiable,positive
Anticipative,positive
Appreciative,positive
Articulate,positive
Aspiring,positive
Athletic,positive
Attractive,positive
Balanced,positive
Benevolent,positive
Brilliant,positive
Calm,positive
Capable,positive
Captivating,positive
Caring,positive
Challenging,positive
Charismatic,positive
Charming,positive
Cheerful,positive
Clean,positive
Clear-headed,positive
Clever,positive
Colorful,positive
Companionly,positive
Compassionate,positive
Conciliatory,positive
Confident,positive
Conscientious,positive
Considerate,positive
Constant,positive
Contemplative,positive
Cooperative,positive
Courageous,positive
Courteous,positive
Creative,positive
Cultured,positive
Curious,positive
Daring,positive
Debonair,positive
Decent,positive
Decisive,positive
Dedicated,positive
Deep,positive
Dignified,positive
Directed,positive
Disciplined,positive
Discreet,positive
Dramatic,positive
Dutiful,positive
Dynamic,positive
Earnest,positive
Ebullient,positive
Educated,positive
Efficient,positive
Elegant,positive
Eloquent,positive
Empathetic,positive
Energetic,positive
Enthusiastic,positive
Esthetic,positive
Exciting,positive
Extraordinary,positive
Fair,positive
Faithful,positive
Farsighted,positive
Felicific,positive
Firm,positive
Flexible,positive
Focused,positive
Forceful,positive
Forgiving,positive
Forthright,positive
Freethinking,positive
Friendly,positive
Fun-loving,positive
Gallant,positive
Generous,positive
Gentle,positive
Genuine,positive
Good-natured,positive
Gracious,positive
Hardworking,positive
Healthy,positive
Hearty,positive
Helpful,positive
Heroic,positive
High-minded,positive
Honest,positive
Honorable,positive
Humble,positive
Humorous,positive
Idealistic,positive
Imaginative,positive
Impressive,positive
Incisive,positive
Incorruptible,positive
Independent,positive
Individualistic,positive
Innovative,positive
Inoffensive,positive
Insightful,positive
Insouciant,positive
Intelligent,positive
Intuitive,positive
Invulnerable,positive
Kind,positive
Knowledge,positive
Leader,positive
Leisurely,positive
Liberal,positive
Logical,positive
Lovable,positive
Loyal,positive
Lyrical,positive
Magnanimous,positive
Many-sided,positive
Masculine,positive
Mature,positive
Methodical,positive
Meticulous,positive
Moderate,positive
Modest,positive
Multi-leveled,positive
Neat,positive
Objective,positive
Observant,positive
Open,positive
Optimistic,positive
Orderly,positive
Organized,positive
Original,positive
Painstaking,positive
Passionate,positive
Patient,positive
Patriotic,positive
Peaceful,positive
Perceptive,positive
Perfectionist,positive
Personable,positive
Persuasive,positive
Playful,positive
Polished,positive
Popular,positive
Practical,positive
Precise,positive
Principled,positive
Profound,positive
Protean,positive
Protective,positive
Providential,positive
Prudent,positive
Punctual,positive
Purposeful,positive
Rational,positive
Realistic,positive
Reflective,positive
Relaxed,positive
Reliable,positive
Resourceful,positive
Respectful,positive
Responsible,positive
Responsive,positive
Reverential,positive
Romantic,positive
Rustic,positive
Sage,positive
Sane,positive
Scholarly,positive
Scrupulous,positive
Secure,positive
Selfless,positive
Self-critical,positive
Self-defacing,positive
Self-denying,positive
Self-reliant,positive
Self-sufficent,positive
Sensitive,positive
Sentimental,positive
Seraphic,positive
Serious,positive
Sexy,positive
Sharing,positive
Shrewd,positive
Simple,positive
Skillful,positive
Sober,positive
Sociable,positive
Solid,positive
Sophisticated,positive
Spontaneous,positive
Sporting,positive
Stable,positive
Steadfast,positive
Steady,positive
Stoic,positive
Strong,positive
Studious,positive
Suave,positive
Subtle,positive
Sweet,positive
Sympathetic,positive
Systematic,positive
Tasteful,positive
Teacherly,positive
Thorough,positive
Tidy,positive
Tolerant,positive
Tractable,positive
Trusting,positive
Uncomplaining,positive
Understanding,positive
Undogmatic,positive
Upright,positive
Urbane,positive
Venturesome,positive
Vivacious,positive
Warm,positive
Well-bred,positive
Well-read,positive
Well-rounded,positive
Winning,positive
Wise,positive
Witty,positive
Youthful,positive
Absentminded,neutral
Aggressive,neutral
Ambitious,neutral
Amusing,neutral
Artful,neutral
Ascetic,neutral
Authoritarian,neutral
Big-thinking,neutral
Boyish,neutral
Breezy,neutral
Businesslike,neutral
Busy,neutral
Casual,neutral
Cerebral,neutral
Chummy,neutral
Circumspect,neutral
Competitive,neutral
Complex,neutral
Confidential,neutral
Conservative,neutral
Contradictory,neutral
Crisp,neutral
Cute,neutral
Deceptive,neutral
Determined,neutral
Dominating,neutral
Dreamy,neutral
Driving,neutral
Droll,neutral
Dry,neutral
Earthy,neutral
Effeminate,neutral
Emotional,neutral
Enigmatic,neutral
Experimental,neutral
Familial,neutral
Folksy,neutral
Formal,neutral
Freewheeling,neutral
Frugal,neutral
Glamorous,neutral
Guileless,neutral
High-spirited,neutral
Hurried,neutral
Hypnotic,neutral
Iconoclastic,neutral
Idiosyncratic,neutral
Impassive,neutral
Impersonal,neutral
Impressionable,neutral
Intense,neutral
Invisible,neutral
Irreligious,neutral
Irreverent,neutral
Maternal,neutral
Mellow,neutral
Modern,neutral
Moralistic,neutral
Mystical,neutral
Neutral,neutral
Noncommittal,neutral
Noncompetitive,neutral
Obedient,neutral
Old-fashioned,neutral
Ordinary,neutral
Outspoken,neutral
Paternalistic,neutral
Physical,neutral
Placid,neutral
Political,neutral
Predictable,neutral
Preoccupied,neutral
Private,neutral
Progressive,neutral
Proud,neutral
Pure,neutral
Questioning,neutral
Quiet,neutral
Religious,neutral
Reserved,neutral
Restrained,neutral
Retiring,neutral
Sarcastic,neutral
Self-conscious,neutral
Sensual,neutral
Skeptical,neutral
Smooth,neutral
Soft,neutral
Solemn,neutral
Solitary,neutral
Stern,neutral
Strict,neutral
Stubborn,neutral
Stylish,neutral
Subjective,neutral
Surprising,neutral
Soft,neutral
Tough,neutral
Unaggressive,neutral
Unambitious,neutral
Unceremonious,neutral
Unchanging,neutral
Undemanding,neutral
Unfathomable,neutral
Unhurried,neutral
Uninhibited,neutral
Unpatriotic,neutral
Unpredictable,neutral
Unsentimental,neutral
Whimsical,neutral
Abrasive,negative
Abrupt,negative
Agonizing,negative
Aggressive,negative
Aimless,negative
Aloof,negative
Amoral,negative
Angry,negative
Anxious,negative
Apathetic,negative
Arbitrary,negative
Argumentative,negative
Arrogant,negative
Artificial,negative
Asocial,negative
Bewildered,negative
Bizarre,negative
Bland,negative
Blunt,negative
Boisterous,negative
Brittle,negative
Brutal,negative
Calculating,negative
Callous,negative
Cantankerous,negative
Careless,negative
Charmless,negative
Childish,negative
Clumsy,negative
Coarse,negative
Cold,negative
Colorless,negative
Complacent,negative
Complaining,negative
Compulsive,negative
Conceited,negative
Condemnatory,negative
Conformist,negative
Confused,negative
Contemptible,negative
Conventional,negative
Cowardly,negative
Crass,negative
Crazy,negative
Criminal,negative
Critical,negative
Crude,negative
Cruel,negative
Cynical,negative
Decadent,negative
Deceitful,negative
Delicate,negative
Demanding,negative
Dependent,negative
Desperate,negative
Destructive,negative
Devious,negative
Difficult,negative
Disconcerting,negative
Discontented,negative
Discouraging,negative
Discourteous,negative
Dishonest,negative
Disloyal,negative
Disobedient,negative
Disorderly,negative
Disorganized,negative
Disputatious,negative
Disrespectful,negative
Disruptive,negative
Dissonant,negative
Distractible,negative
Disturbing,negative
Dogmatic,negative
Domineering,negative
Dull,negative
Easily Discouraged,negative
Egocentric,negative
Envious,negative
Erratic,negative
Escapist,negative
Extravagant,negative
Extreme,negative
Faithless,negative
False,negative
Fanatical,negative
Fanciful,negative
Fatalistic,negative
Fawning,negative
Fearful,negative
Fickle,negative
Fiery,negative
Fixed,negative
Flamboyant,negative
Foolish,negative
Forgetful,negative
Fraudulent,negative
Frightening,negative
Frivolous,negative
Gloomy,negative
Graceless,negative
Greedy,negative
Grim,negative
Gullible,negative
Hateful,negative
Haughty,negative
Hedonistic,negative
Hesitant,negative
Hidebound,negative
High-handed,negative
Hostile,negative
Ignorant,negative
Imitative,negative
Impatient,negative
Impractical,negative
Imprudent,negative
Impulsive,negative
Inconsiderate,negative
